Date,Zach,Pete,,Zach Total,Pete Total,Delta,,Zach Wins,Pete Wins,,Score,Zach Scores,Score,Pete Scores,,,,Date,Games Played,Pete Score,Zach Score
2025-04-21,2,,,gammon,,,,,,,,,,,,,,,,,
2025-04-21,,2,,,,,,,,,,,,,,,,,,,
2025-04-21,,1,,,,,,,,,,,,,,,,,,,
2025-04-21,1,,,,,,,,,,,,,,,,,,,,
2025-04-21,2,,,,,,,,,,,,,,,,,,,,
2025-04-21,1,,,,,,,,,,,,,,,,,,,,
2025-04-23,,1,,,,,,,,,,,,,,,,,,,
2025-04-23,,4,,,,,,,,,,,,,,,,,,,
2025-04-23,1,,,,,,,,,,,,,,,,,,,,
2025-04-23,,1,,,,,,,,,,,,,,,,,,,
2025-04-23,2,,,,,,,,,,,,,,,,,,,,
2025-04-23,,16,,,,,,,,,,,,,,,,,,,
2025-04-23,,1,,,,,,,,,,,,,,,,,,,
2025-04-23,2,,,,,,,,,,,,,,,,,,,,
2025-04-23,1,,,,,,,,,,,,,,,,,,,,
2025-04-23,,1,,,,,,,,,,,,,,,,,,,
2025-04-23,,2,,,,,,,,,,,,,,,,,,,
2025-04-23,,1,,,,,,,,,,,,,,,,,,,
2025-04-23,1,,,,,,,,,,,,,,,,,,,,
2025-04-24,4,,,,,,,,,,,,,,,,,,,,
2025-04-24,,1,,,,,,,,,,,,,,,,,,,
2025-04-24,1,,,,,,,,,,,,,,,,,,,,
2025-04-24,1,,,,,,,,,,,,,,,,,,,,
2025-04-24,,1,,,,,,,,,,,,,,,,,,,
2025-04-24,,1,,,,,,,,,,,,,,,,,,,
2025-04-24,2,,,gammon,,,,,,,,,,,,,,,,,
2025-04-24,2,,,gammon,,,,,,,,,,,,,,,,,
2025-04-24,,4,,,,,,,,,,,,,,,,,,,
2025-04-24,2,,,gammon,,,,,,,,,,,,,,,,,
2025-04-24,,1,,,,,,,,,,,,,,,,,,,
2025-04-24,1,,,,,,,,,,,,,,,,,,,,
2025-04-24,2,,,gammon,,,,,,,,,,,,,,,,,
2025-04-24,,2,,,,,,,,,,,,,,,,,,,
2025-04-24,2,,,,,,,,,,,,,,,,,,,,
2025-04-24,,1,,,,,,,,,,,,,,,,,,,
2025-04-24,,2,,,,,,,,,,,,,,,,,,,
2025-04-24,,1,,,,,,,,,,,,,,,,,,,
2025-04-24,,1,,,,,,,,,,,,,,,,,,,
2025-04-24,4,,,,,,,,,,,,,,,,,,,,
2025-04-27,1,,,,,,,,,,,,,,,,,,,,
2025-04-27,1,,,,,,,,,,,,,,,,,,,,
2025-04-27,,2,,,,,,,,,,,,,,,,,,,
2025-04-27,,1,,,,,,,,,,,,,,,,,,,
2025-04-27,,1,,,,,,,,,,,,,,,,,,,
2025-04-27,,2,,,,,,,,,,,,,,,,,,,
2025-04-27,1,,,,,,,,,,,,,,,,,,,,
2025-04-27,1,,,,,,,,,,,,,,,,,,,,
2025-04-27,,2,,,,,,,,,,,,,,,,,,,
2025-04-27,,4,gammon,,,,,,,,,,,,,,,,,,
2025-04-27,2,,gammon,,,,,,,,,,,,,,,,,,
2025-04-27,2,,gammon,,,,,,,,,,,,,,,,,,
2025-04-27,1,,,,,,,,,,,,,,,,,,,,
2025-04-27,,1,,,,,,,,,,,,,,,,,,,
2025-04-27,,1,,,,,,,,,,,,,,,,,,,
2025-04-27,4,,gammon,,,,,,,,,,,,,,,,,,
2025-04-27,,2,,,,,,,,,,,,,,,,,,,
2025-04-27,,2,,,,,,,,,,,,,,,,,,,
2025-04-27,1,,,,,,,,,,,,,,,,,,,,
2025-04-27,2,,,,,,,,,,,,,,,,,,,,
2025-04-27,,2,,,,,,,,,,,,,,,,,,,
2025-04-27,2,,,,,,,,,,,,,,,,,,,,
2025-04-27,1,,,,,,,,,,,,,,,,,,,,
2025-04-27,,2,gammon,,,,,,,,,,,,,,,,,,
2025-04-27,,1,,,,,,,,,,,,,,,,,,,
2025-04-27,,1,,,,,,,,,,,,,,,,,,,
2025-04-28,,2,,,,,,,,,,,,,,,,,,,
2025-04-28,2,,,,,,,,,,,,,,,,,,,,
2025-04-28,1,,,,,,,,,,,,,,,,,,,,
2025-05-07,,2,,,,,,,,,,,,,,,,,,,
2025-05-07,,1,,,,,,,,,,,,,,,,,,,
2025-05-07,1,,,,,,,,,,,,,,,,,,,,
2025-05-07,,2,,,,,,,,,,,,,,,,,,,
2025-05-07,,2,,,,,,,,,,,,,,,,,,,
2025-05-07,,2,gammon,,,,,,,,,,,,,,,,,,
2025-05-07,1,,,,,,,,,,,,,,,,,,,,
2025-05-07,2,,gammon,,,,,,,,,,,,,,,,,,
2025-05-07,,1,,,,,,,,,,,,,,,,,,,
2025-05-08,1,,,,,,,,,,,,,,,,,,,,
2025-05-08,,2,,,,,,,,,,,,,,,,,,,
2025-05-08,4,,gammon,,,,,,,,,,,,,,,,,,
2025-05-08,,4,gammon,,,,,,,,,,,,,,,,,,
2025-05-13,2,,,,,,,,,,,,,,,,,,,,
2025-05-13,2,,gammon,,,,,,,,,,,,,,,,,,
2025-05-13,,1,,,,,,,,,,,,,,,,,,,
2025-05-13,1,,,,,,,,,,,,,,,,,,,,
2025-05-13,,4,,,,,,,,,,,,,,,,,,,
2025-05-13,1,,,,,,,,,,,,,,,,,,,,
2025-05-15,8,,,,,,,,,,,,,,,,,,,,
2025-05-15,1,,,,,,,,,,,,,,,,,,,,
2025-05-15,,1,,,,,,,,,,,,,,,,,,,
2025-05-15,,1,,,,,,,,,,,,,,,,,,,
2025-05-15,,2,gammon,,,,,,,,,,,,,,,,,,
2025-05-15,,2,,,,,,,,,,,,,,,,,,,
2025-05-16,4,,,,,,,,,,,,,,,,,,,,
2025-05-16,,1,,,,,,,,,,,,,,,,,,,
2025-05-16,,1,,,,,,,,,,,,,,,,,,,
2025-05-16,,4,gammon,,,,,,,,,,,,,,,,,,
2025-05-16,2,,,,,,,,,,,,,,,,,,,,
2025-05-16,,1,,,,,,,,,,,,,,,,,,,
2025-05-16,,2,,,,,,,,,,,,,,,,,,,
2025-05-15,,1,,,,,,,,,,,,,,,,,,,
2025-05-16,,2,,,,,,,,,,,,,,,,,,,
2025-05-16,1,,,,,,,,,,,,,,,,,,,,
2025-05-16,2,,,,,,,,,,,,,,,,,,,,
2025-05-16,,1,,,,,,,,,,,,,,,,,,,
2025-05-16,,2,,,,,,,,,,,,,,,,,,,
2025-05-16,,1,,,,,,,,,,,,,,,,,,,
2025-05-17,4,,gammon,,,,,,,,,,,,,,,,,,
2025-05-17,1,,,,,,,,,,,,,,,,,,,,
2025-05-17,4,,,,,,,,,,,,,,,,,,,,
2025-05-17,2,,,,,,,,,,,,,,,,,,,,
2025-05-17,,2,gammon,,,,,,,,,,,,,,,,,,
2025-05-17,,4,gammon,,,,,,,,,,,,,,,,,,
2025-05-17,1,,,,,,,,,,,,,,,,,,,,
2025-05-17,4,,,,,,,,,,,,,,,,,,,,
2025-05-17,2,,gammon,,,,,,,,,,,,,,,,,,
2025-05-17,1,,,,,,,,,,,,,,,,,,,,
2025-05-17,,4,,,,,,,,,,,,,,,,,,,
2025-05-17,4,,gammon,,,,,,,,,,,,,,,,,,
2025-05-23,1,,,,,,,,,,,,,,,,,,,,
2025-05-23,,1,,,,,,,,,,,,,,,,,,,
2025-05-23,,2,,,,,,,,,,,,,,,,,,,
2025-05-23,,1,,,,,,,,,,,,,,,,,,,
2025-05-23,1,,,,,,,,,,,,,,,,,,,,
2025-05-23,1,,,,,,,,,,,,,,,,,,,,
2025-05-23,,4,gammon,,,,,,,,,,,,,,,,,,
2025-05-26,4,,gammon,,,,,,,,,,,,,,,,,,
2025-05-26,1,,,,,,,,,,,,,,,,,,,,
2025-05-26,,4,,,,,,,,,,,,,,,,,,,
2025-05-27,,1,,,,,,,,,,,,,,,,,,,
2025-05-29,,1,,,,,,,,,,,,,,,,,,,
2025-05-29,2,,gammon,,,,,,,,,,,,,,,,,,
2025-05-29,2,,,,,,,,,,,,,,,,,,,,
2025-05-30,1,,,,,,,,,,,,,,,,,,,,
2025-05-30,4,,,,,,,,,,,,,,,,,,,,
2025-05-30,,4,,,,,,,,,,,,,,,,,,,
2025-05-30,,1,,,,,,,,,,,,,,,,,,,
2025-05-30,1,,,,,,,,,,,,,,,,,,,,
2025-05-30,,1,,,,,,,,,,,,,,,,,,,
2025-05-30,,1,,,,,,,,,,,,,,,,,,,
2025-05-30,4,,gammon,,,,,,,,,,,,,,,,,,
2025-05-30,1,,,,,,,,,,,,,,,,,,,,
2025-05-30,,2,,,,,,,,,,,,,,,,,,,
2025-05-30,1,,,,,,,,,,,,,,,,,,,,
2025-05-30,,1,,,,,,,,,,,,,,,,,,,
2025-05-30,2,,,,,,,,,,,,,,,,,,,,
2025-05-31,,4,,,,,,,,,,,,,,,,,,,
2025-06-03,,1,,,,,,,,,,,,,,,,,,,
2025-06-03,1,,,,,,,,,,,,,,,,,,,,
2025-06-03,1,,,,,,,,,,,,,,,,,,,,
2025-06-02,,1,,,,,,,,,,,,,,,,,,,
2025-06-02,2,,,,,,,,,,,,,,,,,,,,
2025-06-02,1,,,,,,,,,,,,,,,,,,,,
2025-06-02,1,,,,,,,,,,,,,,,,,,,,
2025-06-02,,1,,,,,,,,,,,,,,,,,,,
2025-06-02,2,,,,,,,,,,,,,,,,,,,,
2025-06-02,,1,,,,,,,,,,,,,,,,,,,
2025-06-02,2,,,,,,,,,,,,,,,,,,,,
2025-06-02,,2,,,,,,,,,,,,,,,,,,,
2025-06-02,1,,,,,,,,,,,,,,,,,,,,
2025-06-02,4,,,,,,,,,,,,,,,,,,,,
2025-06-02,,4,gammon,,,,,,,,,,,,,,,,,,
2025-06-18,1,,,,,,,,,,,,,,,,,,,,
2025-06-18,4,,gammon ,,,,,,,,,,,,,,,,,,
